,Utility ID,Name,Plant Code,Nameplate Capacity (MW),Latitude,Longitude
541,59139,SunEdison LLC,59422,1.5,35.0663,-118.339444
542,59139,SunEdison LLC,59423,1.5,35.4837,-119.0298
543,58661,"Sustainable Power Group, LLC",59431,20.0,36.8347,-119.7667
544,59212,"Adelanto Solar II, LLC",59440,7.0,35.1061,-118.3114
545,59211,"Adelanto Solar, LLC",59441,20.0,38.0169,-122.1117
546,58468,Dominion Renewable Energy,59443,20.0,35.074,-118.3153
547,58468,Dominion Renewable Energy,59469,20.0,32.583571,-116.930907
548,57369,"Apple, Inc",59473,14.4,36.7056,-121.7714
549,59257,"Giffen Solar Park, LLC",59522,20.0,33.157,-115.6386
550,59258,"Five Points Solar Park, LLC",59523,60.0,40.846806,-121.956446
551,56769,Consolidated Edison Development Inc.,59524,20.0,40.4731,-122.3206
552,59260,Wright Solar Park LLC,59525,200.0,38.0569,-122.2161
553,59262,"NRG Solar Oasis, LLC",59528,20.0,32.844845,-117.162747
554,59272,"41MB 8me, LLC",59531,50.0,39.053139,-121.695873
555,59273,"62SK 8me, LLC",59532,105.0,35.2956,-119.5919
556,59275,CF SBC Master Tenant One LLC,59536,1.5,36.388,-119.394
557,59275,CF SBC Master Tenant One LLC,59537,1.5,34.2925,-118.389444
558,59284,"Kona Solar, LLC",59539,1.5,35.2097,-119.585
559,59284,"Kona Solar, LLC",59540,1.8,35.953293,-120.859952
560,59284,"Kona Solar, LLC",59541,1.5,35.4292,-119.6864
561,59290,Solvida Energy Group/Blue Oak Energy,59550,2.0,38.030071,-121.873004
562,59298,"Vega Solar, LLC",59555,20.0,33.6157,-114.6865
563,59345,"Colton Solar One, LLC",59597,2.5,38.0169,-121.8439
564,59346,"Colton Solar Two, LLC",59598,1.0,33.916667,-116.55
565,61230,"CD Arevon USA, Inc.",59599,14.0,32.581481,-116.914969
566,61230,"CD Arevon USA, Inc.",59600,20.0,33.946389,-116.663333
567,58468,Dominion Renewable Energy,59607,20.0,37.2207,-121.7457
568,59353,"AP North Lake I, LP",59610,20.0,33.9014,-116.7167
569,59381,EE Kettleman California LLC,59633,20.0,35.280318,-119.470707
570,61230,"CD Arevon USA, Inc.",59638,20.0,38.398867,-121.923973
571,11208,Los Angeles Department of Water & Power,59651,1.6,36.652905,-120.580609
572,11208,Los Angeles Department of Water & Power,59652,1.2,32.562448,-116.943869
573,58468,Dominion Renewable Energy,59657,20.0,32.796491,-116.972071
574,60281,"Altus Power America Management, LLC",59687,1.5,33.121943,-117.117441
575,58468,Dominion Renewable Energy,59703,1.0,34.5953,-117.3647
576,59491,Seville Solar One LLC,59722,20.0,33.1261,-117.1172
577,59492,Seville Solar Two LLC,59723,30.0,32.591667,-117.058611
578,58661,"Sustainable Power Group, LLC",59730,2.0,33.910873,-116.552994
579,58661,"Sustainable Power Group, LLC",59737,9.0,32.567041,-116.944197
580,58661,"Sustainable Power Group, LLC",59738,5.0,33.7803,-118.24
581,58661,"Sustainable Power Group, LLC",59739,3.0,33.494925,-117.614587
582,58661,"Sustainable Power Group, LLC",59740,20.0,32.8817,-117.1958
583,59512,"Team-Solar, Inc.",59746,2.0,34.4383,-119.9397
584,59512,"Team-Solar, Inc.",59748,1.2,38.242158,-121.854722
585,11208,Los Angeles Department of Water & Power,59798,1.3,38.221577,-121.868333
586,59616,"63SU 8me, LLC",59840,155.0,38.226752,-121.843271
587,61230,"CD Arevon USA, Inc.",59868,20.0,34.9556,-118.844
588,61219,Longroad Energy Services LLC,59870,40.0,36.270072,-119.648055
589,59660,"Solar Star California XXXII, LLC",59872,13.0,33.9211,-116.5642
590,61785,EDP Renewables North America LLC,59878,20.0,37.425,-121.9319
591,61943,"North Rosamond Solar, LLC",59879,151.1,38.3017,-122.7489
592,56769,Consolidated Edison Development Inc.,59900,20.0,38.3017,-122.7489
593,56769,Consolidated Edison Development Inc.,59915,20.0,38.5136,-121.1944
594,59139,SunEdison LLC,59916,1.0,36.2397,-119.9044
595,17650,Southern Power Co,59939,205.3,36.999,-121.5363
