postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh,Lat_precise,Long_precise
3027,1051,3817,27.0,5375,5093,282,0,1031,20,0,39121,"250,372",48.8,-37.8655231,144.7613154
3028,2639,11744,21.9,12156,10079,2077,0,2567,72,0,160904,"1,029,784",201.1,-37.8715626,144.7775818
3029,18134,37196,46.9,113135,87573,19496,6066,17431,686,17,686327,"4,392,494",864.0,-37.8629027,144.6854533
3030,13390,46204,27.8,77534,61198,12247,4089,12866,516,8,584210,"3,738,941",730.5,-37.7935,144.764
3031,749,5101,13.8,3703,2475,1228,0,704,45,0,73902,"472,974",91.7,-37.7833035,144.9277474
3032,1536,9139,16.0,7576,6048,1528,0,1459,77,0,139424,"892,317",171.8,-37.7767444,144.9110705
3033,1033,6235,15.5,5454,3998,1456,0,967,66,0,95922,"613,904",118.8,-37.7343192,144.8566207
3034,764,5232,13.8,3697,2990,707,0,722,42,0,62479,"399,868",77.0,-37.7628247,144.8648709
3036,535,2388,20.6,2858,2282,576,0,493,42,0,43523,"278,545",53.6,-37.712,144.831
3037,5035,18676,25.9,25220,21535,2985,700,4831,202,2,270719,"1,732,605",333.6,-37.679,144.762
3038,2585,9643,25.7,15769,10899,1969,2901,2483,99,3,178548,"1,142,709",220.0,-37.722,144.803
3039,727,4524,15.0,3660,2670,990,0,677,50,0,73588,"470,965",90.7,-37.7675363,144.9198932
3040,1374,8492,14.7,7494,5178,2074,242,1249,124,1,132349,"847,033",163.0,-37.762,144.901
3041,772,4630,15.6,4373,3177,1196,0,722,50,0,83852,"536,651",103.5,-37.7263,144.897
3042,1087,8176,11.8,7323,3869,2979,475,963,123,1,131145,"839,327",161.8,-37.726234,144.8813526
3043,1518,8237,16.4,10649,5454,5048,147,1348,169,1,212462,"1,359,756",264.5,-37.6926696,144.8951801
3044,1590,12654,12.0,7325,6021,1304,0,1517,73,0,133729,"855,869",165.0,-37.727,144.942
3046,1928,14642,12.7,8844,7221,1623,0,1857,71,0,170194,"1,089,241",209.8,-37.7062465,144.9161373
3047,1426,6451,20.6,11776,5859,3059,2858,1330,93,3,139003,"889,620",171.0,-37.6860869,144.9269889
