Date,Hour,Interval,Wind Curtailment,Solar Curtailment
07/01/2020,12,1,,395
07/01/2020,12,2,,310
07/01/2020,12,3,,389
07/01/2020,12,4,,528
07/01/2020,12,5,,529
07/01/2020,12,6,,574
07/01/2020,12,7,,585
07/01/2020,12,8,,629
07/01/2020,12,9,,587
07/01/2020,12,10,,599
07/01/2020,12,11,,547
07/01/2020,12,12,,412
07/01/2020,13,1,,584
07/01/2020,13,2,,603
07/01/2020,13,3,,602
07/01/2020,13,4,,647
07/01/2020,13,5,,673
07/01/2020,13,6,,624
07/01/2020,13,7,,547
07/01/2020,13,8,,599
07/01/2020,13,9,,594
07/01/2020,13,10,,575
07/01/2020,13,11,,555
07/01/2020,13,12,,565
07/01/2020,14,1,,470
07/01/2020,14,2,,591
07/01/2020,14,3,,532
07/01/2020,14,4,,592
07/01/2020,14,5,,548
07/01/2020,14,6,,567
07/01/2020,14,7,,585
07/01/2020,14,8,,557
07/01/2020,14,9,,490
07/01/2020,14,10,12,521
07/01/2020,14,11,19,518
07/01/2020,14,12,5,431
07/01/2020,15,1,,386
07/01/2020,15,2,,392
07/01/2020,15,3,16,430
07/01/2020,15,4,25,554
07/01/2020,15,5,25,551
07/01/2020,15,6,24,586
07/01/2020,15,7,23,538
07/01/2020,15,8,19,616
07/01/2020,15,9,19,621
07/01/2020,15,10,18,452
07/01/2020,15,11,17,432
07/01/2020,15,12,13,383
07/01/2020,16,1,,356
07/01/2020,16,2,,319
07/01/2020,16,3,,370
07/01/2020,16,4,,291
07/01/2020,16,5,,154
07/01/2020,16,6,,76
07/01/2020,16,7,,129
07/01/2020,16,8,,90
07/01/2020,16,9,,59
07/01/2020,20,12,13,
07/01/2020,21,5,1,
07/01/2020,22,4,19,
07/01/2020,22,5,23,
07/01/2020,22,6,35,
07/01/2020,22,7,25,
07/01/2020,22,8,22,
08/01/2020,8,1,,2
08/01/2020,8,2,,9
08/01/2020,8,5,48,42
08/01/2020,8,6,52,66
08/01/2020,8,7,6,17
08/01/2020,8,8,,34
08/01/2020,8,9,1,46
08/01/2020,8,10,2,28
08/01/2020,8,11,189,218
08/01/2020,8,12,193,289
08/01/2020,9,1,192,264
08/01/2020,9,2,156,170
08/01/2020,9,3,,19
08/01/2020,9,4,165,183
08/01/2020,9,5,153,181
08/01/2020,9,6,196,187
08/01/2020,9,7,196,231
08/01/2020,9,8,196,304
08/01/2020,9,9,196,351
08/01/2020,9,10,195,431
08/01/2020,9,11,195,473
08/01/2020,9,12,195,473
08/01/2020,10,1,190,397
08/01/2020,10,2,37,478
08/01/2020,10,3,196,517
08/01/2020,10,4,194,493
08/01/2020,10,5,194,546
08/01/2020,10,6,195,545
08/01/2020,10,7,194,540
08/01/2020,10,8,193,493
08/01/2020,10,9,194,548
08/01/2020,10,10,175,608
08/01/2020,10,11,143,618
08/01/2020,10,12,96,492
08/01/2020,11,1,110,710
08/01/2020,11,2,25,639
08/01/2020,11,3,,653
08/01/2020,11,4,,685
08/01/2020,11,5,,778
08/01/2020,11,6,1,801
08/01/2020,11,7,27,908
08/01/2020,11,8,115,819
08/01/2020,11,9,111,826
08/01/2020,11,10,136,669
08/01/2020,11,11,124,646
08/01/2020,11,12,114,763
08/01/2020,12,1,2,412
08/01/2020,12,2,2,257
08/01/2020,12,3,2,448
08/01/2020,12,4,81,617
08/01/2020,12,5,80,651
08/01/2020,12,6,107,567
08/01/2020,12,7,186,524
08/01/2020,12,8,196,538
08/01/2020,12,9,191,603
08/01/2020,12,10,209,704
08/01/2020,12,11,210,657
08/01/2020,12,12,210,701
08/01/2020,13,1,156,961
